Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Publisher_Missing_Flag,Year_Missing_Flag,Region_Reach,Success_Score
7831,ANCIENT BLITZ II,3DS,2023.0,Shooter,Unknown/Unreported,0.03,0.01,0.01,0.01,0.06,82.0,6.8,1,0,4,44.9
14438,ANCIENT COVENANT: GOLD EDITION,PSP,2007.0,Strategy,Codemasters,0.21,0.1,0.04,0.1,0.45,80.0,7.3,0,0,4,45.4
9095,ANCIENT CRUSADE,PS2,2017.0,Sports,NetherRealm Studios,0.05,0.05,0.03,0.01,0.14,68.0,,0,0,4,38.0
13887,ANCIENT FRONTIER: ORIGINS,PS4,2010.0,Fighting,505 Games,0.13,0.08,0.06,0.03,0.3,91.0,7.7,0,0,4,49.1
15249,ANCIENT KINGDOM IV,PSP,2023.0,Racing,Electronic Arts,0.02,0.01,0.01,0.02,0.06,55.0,7.2,0,0,4,37.4
6999,ANCIENT KINGDOM: GOLD EDITION,PS Vita,,Fighting,Codemasters,0.04,0.03,0.01,0.0,0.08,59.0,7.8,0,0,3,37.0
10720,ANCIENT NEXUS,PC,2004.0,Strategy,Tecmo Koei,0.09,0.04,0.02,0.02,0.17,,5.2,0,0,4,33.0
8884,ANCIENT NEXUS,PS Vita,2001.0,Puzzle,Focus Entertainment,0.11,0.08,0.07,0.07,0.33,84.0,6.0,0,0,4,44.5
9322,ANCIENT ORIGINS 2,Wii,2001.0,Sports,Team17,0.03,0.02,0.02,0.0,0.07,54.0,4.9,0,0,3,31.1
3096,ANCIENT REALM REBORN,PSP,2025.0,Shooter,Focus Entertainment,0.02,0.02,0.01,0.02,0.07,73.0,5.8,0,0,4,40.7
16254,ANCIENT REBELLION: GOLD EDITION,PS4,2003.0,Puzzle,Take-Two Interactive,0.17,0.07,0.02,0.15,0.41,,5.6,0,0,3,31.3
505,ANCIENT REQUIEM 2,DS,2020.0,Action,Square Enix,0.05,0.02,0.02,0.0,0.09,,7.6,0,0,3,34.0
16256,ANCIENT SANCTUARY 3,Xbox One,2022.0,Misc,505 Games,0.01,0.01,0.01,0.0,0.03,74.0,6.0,0,0,3,38.7
14311,ANCIENT SANCTUARY II,Nintendo Switch,2004.0,Sports,Atari,0.02,0.02,0.0,0.01,0.05,61.0,7.9,0,0,3,37.7
13220,ANCIENT VOYAGE,PC,2023.0,Action,Ubisoft,0.15,0.11,0.02,0.11,0.39,64.0,,0,0,4,37.1
16571,ASTRAL COVENANT: ORIGINS,PS2,2000.0,Strategy,Focus Entertainment,0.12,0.16,0.04,0.15,0.47,71.0,6.3,0,0,4,41.2
13400,ASTRAL CRUSADE II,PS2,2022.0,Misc,Tecmo Koei,0.0,0.0,0.0,0.01,0.01,78.0,7.6,0,0,1,37.3
12505,ASTRAL CRUSADE III,PC,2012.0,Puzzle,Epic Games,0.03,0.02,0.01,0.01,0.07,71.0,,0,0,4,38.9
7226,ASTRAL CRUSADE: GOLD EDITION,PS Vita,2013.0,Adventure,Annapurna Interactive,0.03,0.03,0.02,0.02,0.1,87.0,,0,0,4,43.7
1425,ASTRAL CRUSADE: REMASTERED,Xbox 360,2007.0,Puzzle,Deep Silver,0.04,0.03,0.02,0.03,0.12,73.0,,0,0,4,39.5
2759,ASTRAL DOMINION: GOLD EDITION,PS2,2013.0,Sports,2K Games,0.08,0.05,0.05,0.0,0.18,63.0,8.3,0,0,3,39.0
