Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
1,  SACRED CHRONICLES IV  ,pc ,2012.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.01,0.01,61.0,7.1
2,Sacred Chronicles II,PS2,2009.0,Shooter,Microsoft Studios,0.14,0.1,0.13,0.08,0.45,,8.5
3,Golden Empire III,Game Boy Advance,2022.0,Misc,Bethesda Softworks,0.05,0.01,0.02,0.01,0.09,81.0,
4,Broken Blitz IV,game boy advance,2005.0,Shooter,Epic Games,0.11,0.06,0.05,0.02,0.24,60.0,7.4
5,Final Genesis 3,PSP,2017.0,Misc,NetherRealm Studios,0.09,0.04,0.04,0.01,0.18,92.0,4.6
6,Shadow Kingdom 2,PS5,2017.0,Misc,NetherRealm Studios,0.11,0.06,0.08,0.03,0.28,56.0,6.8
7,Wild Origins Online,PS5,,Sports,THQ,0.03,0.02,0.02,0.0,0.07,66.0,5.1
8,Neon Empire Online,PC,2003.0,Strategy,Sony Interactive Entertainment,0.13,0.08,0.04,0.0,0.25,51.0,7.3
9,Radiant Frontier,Wii,2026.0,Racing,Atari,0.03,0.01,0.02,0.03,0.09,82.0,6.9
10,Silent Legion Online,PS2,2025.0,Role-Playing,CD Projekt,0.03,0.01,0.01,0.01,0.06,61.0,6.8
11,Shadow Warfare IV,PS Vita,2004.0,Shooter,Take-Two Interactive,0.06,0.04,0.01,0.04,0.15,73.0,9.8
12,Fallen Sanctuary II,PC,2008.0,Misc,Activision,0.03,0.02,0.01,0.02,0.08,86.0,8.4
13,Grand Voyage Online,PS Vita,2026.0,Action,CD Projekt,0.06,0.03,0.0,0.04,0.13,82.0,4.8
14,Frozen Crusade 2,DS,209.0,Platform,Team17,0.19,0.09,0.08,0.07,0.43,85.0,7.0
15,Rising Uprising IV,Xbox One,2000.0,Action,NetherRealm Studios,0.02,0.01,0.01,0.01,0.05,,7.0
16,Wild Paradox: Gold Edition,Xbox Series X,2004.0,Action,Rockstar Games,0.04,0.03,0.02,0.0,0.09,89.0,6.9
17,Crimson Covenant: Redux,3DS,2009.0,Puzzle,NetherRealm Studios,0.18,0.1,0.05,0.1,0.43,,7.3
18,Lost Sanctuary,Xbox 360,2000.0,Adventure,THQ,0.01,0.01,0.01,0.01,0.04,65.0,7.1
19,Wicked Origins: Redux,PS2,209.0,Shooter,Team17,0.3,0.2,0.14,0.0,0.64,63.0,8.5
20,  ETERNAL REQUIEM REBORN  ,Xbox 360,2005.0,Simulation,Warner Bros. Interactive,0.12,0.12,0.09,0.07,0.4,69.0,7.2
21,Golden Syndicate: Remastered,3DS,2012.0,Role-Playing,Sega,0.13,0.09,0.06,0.0,0.28,,7.0
22,Wicked Empire,Wii U,2017.0,Shooter,Paradox Interactive,0.06,0.04,0.02,0.01,0.13,64.0,8.3
23,Sacred Frontier: Origins,Xbox One,2020.0,Sports,Tecmo Koei,0.18,0.17,0.13,0.21,0.69,59.0,6.1
24,Hollow Odyssey Online,Xbox One,,Action,Codemasters,0.3,0.2,0.17,0.0,0.66,81.0,7.6
25,  WICKED BLITZ: REDUX  ,PS5,,Misc,Rockstar Games,0.19,0.1,0.07,0.02,0.38,52.0,8.9
26,Ancient Chronicles Online,PS4,2018.0,Fighting,Activision,0.03,0.02,0.02,0.03,0.1,57.0,6.5
27,Wild Horizon IV,Xbox Series X,2020.0,Platform,Bethesda Softworks,0.02,0.02,0.01,0.03,0.08,56.0,6.0
28,Storm Frontier: Gold Edition,Nintendo Switch,2010.0,Role-Playing,Deep Silver,0.01,0.01,0.0,0.02,0.04,45.0,6.8
29,Storm Paradox: Gold Edition,Wii,2010.0,Shooter,Capcom,0.11,0.04,0.01,0.06,0.22,60.0,4.6
30,Hollow Voyage 2,Xbox 360,2023.0,Simulation,Konami,0.05,0.03,0.03,0.05,0.16,62.0,6.0
31,Lost Reckoning: Origins,PS4,2023.0,Role-Playing,Capcom,0.01,0.01,0.0,0.01,0.03,73.0,5.8
32,Shadow Vanguard,Wii U,2021.0,Misc,Annapurna Interactive,0.3,0.2,0.29,0.37,1.16,72.0,
33,Sacred Frontier IV,PS2,2004.0,Puzzle,Electronic Arts,0.05,0.03,0.01,0.02,0.11,76.0,
34,Steel Paradox,Xbox Series X,2023.0,Role-Playing,Electronic Arts,0.09,0.06,0.05,0.01,0.21,62.0,5.0
35,Broken Empire III,Xbox 360,2007.0,Sports,Take-Two Interactive,0.01,0.0,0.0,0.02,0.03,47.0,8.3
36,Iron Chronicles,PS Vita,2014.0,Puzzle,Rockstar Games,0.14,0.06,0.03,0.03,0.26,73.0,7.4
37,Shadow Frontier: Gold Edition,3ds,2021.0,Platform,Tecmo Koei,0.03,0.01,0.01,0.01,0.06,71.0,6.1
38,Wild Paradox 3,Xbox Series X,2025.0,Misc,505 Games,0.03,0.01,0.0,0.02,0.06,74.0,6.0
39,Neon Vanguard Reborn,Wii,2010.0,Misc,2K Games,0.67,0.33,0.36,0.23,1.59,49.0,6.3
40,Radiant Covenant: Redux,Playstation 5,2000.0,Simulation,THQ,0.02,0.01,0.01,0.01,0.05,86.0,3.8
41,Rising Realm: Redux,Xbox Series X,2009.0,Role-Playing,Sega,0.01,0.01,0.01,0.01,0.04,68.0,6.8
